ID,Section,Lab-01,Lab-02,Lab-03,Lab-04,Lab-05,Lab-06,Lab-07,Lab-08,Lab-09 (17.5),Lab-10,Best 8,Normalize,Compre quiz(60),Total,Total
2022A4PS0355P,P11N,13.5,13.5,17.5,15.5,17.5,17.5,17,17.5,17,17.5,137,137.4910394,31,168.491039,169
2022A4PS0502P,P11N,17.5,13,11.5,10.5,16.5,17.5,17,14.5,17.5,17.5,131,131.4695341,24,155.469534,156
2022A4PS0626P,P11N,17.5,16,17.5,16.5,17.5,17,16.5,0,16.5,0,135,135.483871,22.5,157.983871,158
2022A4PS0669P,P11N,17,17.5,17.5,11.5,17.5,17.5,17.5,16.5,17.5,17.5,139.5,140,42,182,182
2022A4PS0694P,P11N,17.5,13.5,14,10.5,17.5,17.5,17,16.5,17,17.5,134.5,134.9820789,25,159.982079,160
2022A4PS0945P,P11N,5.5,5.5,0,0,0,17.5,5.5,0,5.5,13,52.5,52.68817204,16.5,69.188172,70
2022A5PS1417P,P11N,17.5,17,17.5,16,17,17.5,5.5,16.5,17,17.5,137.5,137.9928315,33.5,171.492832,172
2022A5PS1440P,P11N,16.5,16,17.5,12.5,0,17.5,5.5,17.5,17,17.5,132,132.4731183,17,149.473118,150
2022A5PS1448P,P11N,17.5,17.5,17,15,17.5,17.5,0,17.5,17,17.5,139,139.4982079,13.5,152.998208,153
2022A7PS0033P,P11N,17.5,17,17.5,15,17.5,17.5,17.5,17.5,17,17.5,139.5,140,24,164,164
2022A7PS0036P,P11N,17.5,17.5,17,17,17,17.5,17.5,17.5,17,17.5,139,139.4982079,31.5,170.998208,171
2022A7PS0076P,P11N,17.5,17.5,17.5,17.5,17,17.5,0,17.5,17,17.5,139.5,140,13.5,153.5,154
2022A7PS0097P,P11N,17.5,17.5,17.5,17,17.5,17.5,0,16.5,17,17.5,139,139.4982079,43,182.498208,183
2022A7PS0120P,P11N,17.5,17.5,17.5,15,17.5,17.5,5.5,16.5,5.5,17.5,136.5,136.9892473,21.5,158.489247,159
2022A7PS0130P,P11N,0,17.5,17,15,0,17.5,16.5,0,17,15,115.5,115.9139785,19.5,135.413978,136
2022A7PS0142P,P11N,17,17.5,16.5,17,17,5.5,0,17.5,14.5,17.5,134.5,134.9820789,26,160.982079,161
2022A8PS0462P,P11N,16.5,17.5,17.5,16.5,16.5,17.5,0,0,17.5,17.5,137,137.4910394,35,172.491039,173
2022A8PS0595P,P11N,16.5,17.5,17.5,17,16.5,17,0,5.5,17,17.5,136.5,136.9892473,27,163.989247,164
2022A8PS0619P,P11N,17.5,17.5,16.5,12.5,17.5,17.5,17.5,16.5,17.5,17.5,139,139.4982079,40,179.498208,180
2022ABPS0979P,P11N,17.5,17.5,17.5,17.5,16.5,17.5,5.5,16.5,17.5,17.5,139,139.4982079,42.5,181.998208,182
2022B1PS1130P,P11N,17.5,17.5,17.5,15,15.5,17.5,0,17.5,17.5,17.5,138,138.4946237,9,147.494624,148
2022B2PS1721P,P11N,15.5,16.5,15,16,17.5,17.5,17.5,16.5,17.5,17.5,136.5,136.9892473,19.5,156.489247,157
2022B2TS1534P,P11N,17,16.5,17.5,17.5,16.5,17.5,16.5,16.5,17.5,17.5,137.5,137.9928315,9.5,147.492832,148
2022B3PS0555P,P11N,17,17.5,16,17,17,17.5,16.5,0,17.5,17.5,137.5,137.9928315,34.5,172.492832,173
2022B3PS0580P,P11N,17,17.5,15.5,14.5,17,17.5,17.5,16.5,17.5,17.5,138,138.4946237,28.5,166.994624,167
2022B3PS0638P,P11N,17.5,15.5,17.5,17,16.5,5.5,16.5,0,16,0,122,122.437276,20,142.437276,143
2022B4PS0920P,P11N,16.5,17,17.5,17.5,17.5,17.5,16.5,16.5,17.5,17.5,138.5,138.9964158,29.5,168.496416,169
2022B4PS0936P,P11N,15,12.5,17.5,17.5,17.5,17.5,17,16.5,17.5,17.5,138.5,138.9964158,31.5,170.496416,171
2022B4PS0980P,P11N,16,13.5,17,17.5,17.5,17.5,0,0,17.5,17.5,134,134.4802867,26.5,160.980287,161
2022B4PS0989P,P11N,17.5,13,17.5,17,17.5,17.5,16.5,16.5,17.5,17.5,138.5,138.9964158,37.5,176.496416,177
2022B5PS0641P,P11N,15.5,13,17.5,14.5,16.5,17.5,15.5,17.5,17.5,16,133.5,133.9784946,26.5,160.478495,161
2022B5PS0789P,P11N,16,16.5,17.5,17.5,17.5,17.5,16.5,16.5,17.5,17.5,138,138.4946237,24.5,162.994624,163
2022B5PS0864P,P11N,0,0,0,5.5,17.5,15.5,0,5.5,5.5,5.5,55,55.19713262,20.5,75.6971326,76
2022B5PS0972P,P11N,13.5,13,15.5,17.5,17.5,17.5,17,16.5,0,17.5,132.5,132.9749104,15,147.97491,148
2022B5PS1313P,P11N,15.5,17.5,16.5,17.5,16.5,17.5,16.5,16.5,17.5,17.5,137,137.4910394,35,172.491039,173
2022B5TS1510P,P11N,16.5,17,17.5,17,17.5,17.5,0,0,0,17.5,120.5,120.9318996,15,135.9319,136
2022B5TS1527P,P11N,16,15,17.5,17,17.5,17,5.5,16.5,15,17.5,134,134.4802867,16,150.480287,151
2022D2TS1543P,P11N,15.5,17,17,15,17.5,17.5,5.5,0,15,17.5,132,132.4731183,7.5,139.973118,140
2021B1PS0752P,P12N,0,0,17.5,17,16.5,15.5,0,16,11.5,17.5,111.5,111.8996416,27.5,139.399642,140
2022A1PS1134P,P12N,17,17.5,17.5,15,16.5,15.5,0,16.5,14.5,16.5,132,132.4731183,22,154.473118,155
2022A2PS1052P,P12N,16,17.5,16.5,16,17.5,16.5,0,0,0,0,100,100.3584229,21,121.358423,122
2022A2PS1094P,P12N,16.5,17.5,17.5,17,17,17.5,17.5,17.5,14.5,0,138,138.4946237,27,165.494624,166
2022A2PS1673P,P12N,16,16.5,17.5,16.5,0,16.5,15.5,,15.5,17.5,116,116.4157706,9,125.415771,126
2022A2PS1698P,P12N,4,0,17,15.5,17,17,15.5,15,14.5,17,128.5,128.9605735,6,134.960573,135
2022A3PS0402P,P12N,14.5,12.5,17.5,16,17.5,17.5,11.5,15.5,16.5,17.5,132.5,132.9749104,31,163.97491,164
2022A3PS0405P,P12N,16.5,0,14.5,16,0,17.5,17.5,16.5,16.5,17.5,132.5,132.9749104,37.5,170.47491,171
2022A3PS0473P,P12N,16,17.5,17.5,16.5,17,17.5,0,16.5,0,0,118.5,118.9247312,24,142.924731,143
2022A3PS0498P,P12N,16.5,17.5,17.5,16,17.5,17.5,16.5,16.5,0,0,135.5,135.9856631,29,164.985663,165
2022A4PS0223P,P12N,16.5,17.5,17.5,16,17,17.5,0,15.5,14.5,0,132,132.4731183,11,143.473118,144
2022A4PS0490P,P12N,16.5,12.5,17.5,16.5,17.5,17.5,16.5,15,0,0,129.5,129.9641577,30,159.964158,160
2022A4PS0558P,P12N,16.5,12.5,15.5,16,17.5,0,16,17,14.5,16.5,129.5,129.9641577,36.5,166.464158,167
2022A4PS0703P,P12N,0,17.5,17.5,17.5,17,17.5,17.5,,15.5,17.5,122,122.437276,26,148.437276,149
2022A4PS0827P,P12N,16.5,11.5,17.5,16,16.5,0,16.5,17.5,16.5,17,134,134.4802867,22.5,156.980287,157
2022A5PS1462P,P12N,16.5,17.5,14.5,16.5,16.5,17.5,16.5,17,16.5,17.5,135.5,135.9856631,19,154.985663,155
2022A7PS0006P,P12N,16.5,17.5,17.5,17.5,17.5,17.5,,14.5,16.5,17.5,121.5,121.9354839,27.5,149.435484,150
2022A7PS0035P,P12N,17.5,17.5,17.5,17.5,17.5,17.5,17,15.5,16.5,17.5,139.5,140,27,167,167
2022A7PS0037P,P12N,17,16.5,11.5,17.5,17.5,0,17,16.5,16.5,17.5,136,136.4874552,35,171.487455,172
2022A7PS0051P,P12N,17,14,11.5,17.5,17.5,0,17,16.5,16.5,17,133,133.4767025,9,142.476703,143
2022A7PS0078P,P12N,17,17.5,14.5,17.5,17.5,17.5,17.5,16.5,17,17.5,139,139.4982079,44.5,183.998208,184
2022A7PS0086P,P12N,17,17.5,17.5,17.5,17.5,0,10.5,0,0,17.5,115,115.4121864,38,153.412186,154
2022A7PS0115P,P12N,17,17,17.5,16.5,17.5,16.5,0,17.5,14,0,133.5,133.9784946,38.5,172.478495,173
2022A7PS0133P,P12N,16,17.5,17.5,17,0,17.5,0,16.5,14.5,16.5,133,133.4767025,44.5,177.976703,178
2022AAPS0226P,P12N,16.5,17,14,17,17.5,17.5,0,16.5,13.5,0,129.5,129.9641577,32.5,162.464158,163
2022ABPS1364P,P12N,17,16.5,14,16.5,17,17.5,10.5,13.5,14.5,17.5,130.5,130.9677419,29,159.967742,160
2022B1PS0993P,P12N,17,17,17.5,16,17,15.5,0,16.5,14.5,17.5,134,134.4802867,41,175.480287,176
2022B1PS1010P,P12N,17,17.5,17.5,16,17.5,17.5,0,16.5,15,17.5,137,137.4910394,23,160.491039,161
2022B1PS1145P,P12N,17,17.5,17.5,16,16.5,17.5,0,17.5,15,17.5,137,137.4910394,29,166.491039,167
2022B1PS1148P,P12N,17,17.5,17,17.5,15,17.5,0,16.5,14.5,17.5,135.5,135.9856631,34,169.985663,170
2022B1PS1156P,P12N,17,17.5,17.5,17.5,16.5,17.5,0,16.5,15.5,0,135.5,135.9856631,19.5,155.485663,156
2022B2PS0825P,P12N,16.5,17.5,17.5,17,17,15.5,0,16.5,16,0,133.5,133.9784946,22,155.978495,156
2022B2PS1032P,P12N,17,17.5,17.5,17,16,0,0,12.5,15,17.5,130,130.4659498,14.5,144.96595,145
2022B2PS1106P,P12N,14,17.5,16.5,16.5,17,15,17.5,0,16.5,0,130.5,130.9677419,27.5,158.467742,159
2022B2PS1135P,P12N,17.5,17.5,16.5,17.5,17,0,17,16.5,14.5,17,136.5,136.9892473,38.5,175.489247,176
2022B2PS1144P,P12N,16.5,17.5,16.5,17,17,17.5,17.5,16.5,17,17.5,137.5,137.9928315,22,159.992832,160
2022B2TS1536P,P12N,16,14,15,9.5,0,15,16.5,16.5,14.5,17,124.5,124.9462366,16.5,141.446237,142
2022B3PS0446P,P12N,17,17.5,17.5,17,17,17.5,17.5,17,16.5,17.5,138.5,138.9964158,39,177.996416,178
2022B3PS0525P,P12N,13,17.5,16.5,16.5,17,17.5,0,16.5,14.5,17.5,133.5,133.9784946,37.5,171.478495,172
2022B3PS0529P,P12N,17,0,16.5,17,17,0,0,0,12.5,0,80,80.28673835,29.5,109.786738,110
2022B3PS0600P,P12N,17.5,17.5,16,17,17,17.5,0,15.5,16.5,17.5,136.5,136.9892473,28,164.989247,165
2022B3PS0631P,P12N,16.5,17,16.5,16.5,17.5,17.5,0,16.5,17,17.5,136,136.4874552,32,168.487455,169
2022B3TS1517P,P12N,14.5,17,17.5,16.5,17.5,17.5,16.5,16.5,17.5,17.5,137.5,137.9928315,25,162.992832,163
2022B4PS0787P,P12N,14.5,17.5,17.5,17,0,0,13.5,16.5,14.5,17.5,128.5,128.9605735,27.5,156.460573,157
2022B4PS0874P,P12N,5.5,16.5,17.5,5.5,17,17.5,17,16,15.5,17.5,134.5,134.9820789,42,176.982079,177
2022B4PS0954P,P12N,15.5,17.5,16,17,17.5,17.5,0,16,14.5,17.5,134.5,134.9820789,19,153.982079,154
2022B4PS0961P,P12N,15,17.5,0,17,17.5,17.5,0,16,14.5,17.5,132.5,132.9749104,17.5,150.47491,151
2022B4PS1013P,P12N,16.5,16.5,17.5,17,17,17,0,15.5,14.5,17.5,134.5,134.9820789,42,176.982079,177
2022B4PS1063P,P12N,17,16,17.5,17,17.5,17,0,16.5,16.5,17.5,136.5,136.9892473,39,175.989247,176
2022B4PS1087P,P12N,14,17.5,17.5,15.5,17,17,0,0,14.5,17.5,130.5,130.9677419,29,159.967742,160
2022B5TS1532P,P12N,14,17.5,17.5,17,16.5,17.5,16,15.5,16.5,17.5,136,136.4874552,12.5,148.987455,149
2022D2TS1555P,P12N,9.5,16,15.5,16.5,17,17,0,16.5,14.5,17.5,130.5,130.9677419,22.5,153.467742,154
2022A1PS1568P,P13N,16.5,17,17.5,17.5,17.5,17.5,5.5,16.5,17.5,17.5,138.5,138.9964158,28.5,167.496416,168
2022A1PS1576P,P13N,15.5,17.5,17.5,17.5,17.5,17.5,15.5,16.5,15.5,17.5,137,137.4910394,20,157.491039,158
2022A3PS0418P,P13N,16.5,17.5,17.5,16.5,17.5,17.5,0,16.5,15,17.5,137,137.4910394,42.5,179.991039,180
2022A3PS0419P,P13N,16.5,17.5,17.5,17.5,17.5,17.5,15.5,16.5,17.5,17.5,139,139.4982079,37,176.498208,177
2022A3PS0454P,P13N,17,11.5,0,17.5,17.5,17.5,16.5,14.5,17.5,17.5,135.5,135.9856631,26,161.985663,162
