ID,Mid,T1,T2,T3,T4,T5,Best 4,Tut(80),PCT,Comp(45),Comp(75),Comp,CT(300)
0357P,11,15,15,2,4,12,46,62,73,17,3,20,93
0207P,72,7,15,14,6,3,42,56,128,22,13,35,163
0318P,38,1,15,0,0,12,28,38,76,8,10,18,94
1448P,2,2,3,3,3,15,24,32,34,6,0,6,40
0146P,37,14,0,0,8,10,32,43,80,26,5,31,111
0369P,44,13,15,15,1,15,58,78,122,21,18,39,161
0725P,10,0,0,0,1,0,1,2,12,6,5,11,23
0738P,43,9,11,15,7,15,50,67,110,8,13,21,131
0378P,27,5,11,3,5,8,29,39,66,14,5,19,85
1227P,24,1,15,12,0,11,39,52,76,4,6,10,86
0141P,38,15,15,15,0,15,60,80,118,36,19,55,173
0180P,33,3,15,15,15,15,60,80,113,21,5,26,139
1217P,14,0,15,6,0,15,36,48,62,11,2,13,75
0120P,6,6,11,15,15,0,47,63,69,0,5,5,74
0130P,3,0,7,4,0,1,12,16,19,5,0,5,24
0748P,34,11,15,11,0.5,15,52,70,104,19,10,29,133
0942P,3,8,15,12,12,5,47,63,66,11,0,11,77
0792P,28,4,13.5,5,14,8,40.5,54,82,9,2,11,93
1232P,29,0,0,2,3,8,13,18,47,11,4,15,62
0079P,6,0,15,10,0,14,39,52,58,0,3,3,61
1219P,23,0,1,4,5,1,11,15,38,13,11,24,62
0169P,62,15,15,15,15,13,60,80,142,25,10,35,177
1069P,4,1.5,6,4,0,0,11.5,16,20,11,5,16,36
1234P,34,11,15,0,15,15,56,75,109,21,13,34,143
0056P,63,12,13,15,15,15,58,78,141,35,33,68,209
0216P,24,5,12,11,6,3,34,46,70,26,25,51,121
0448P,30,7,3,15,13,11,46,62,92,15,16,31,123
0017P,56,5,15,10,12,14,51,68,124,11,21,32,156
0714P,14,0,15,6,0,13,34,46,60,8,1,9,69
0427P,9,0,15,0,4,15,34,46,55,13,0,13,68
0676P,2,1,1,15,0,0,17,23,25,3,3,6,31
1235P,40,11,15,5,15,15,56,75,115,14,14,28,143
0255P,3,0,2,2,0,4,8,11,14,3,4,7,21
0174P,78,15,15,15,15,15,60,80,158,30,20,50,208
1224P,35,3,15,10,12,3,40,54,89,15,7,22,111
0661P,7,0,0,0,0,8,8,11,18,5,0,5,23
0006P,16,5,6,6,1,12,29,39,55,12,11,23,78
1223P,19,4,5,10,4,12,31,42,61,19,7,26,87
0049P,65,15,15,2,15,13,58,78,143,42,7,49,192
1462P,2,1,7,1,2,8,18,24,26,6,0,6,32
0589P,36,14,5,15,15,15,59,79,115,29,18,47,162
0106P,0,0,1,2,1,1,5,7,7,0,3,3,10
1631P,14,0,0,0,0,0,0,0,14,3,2,5,19
0234P,52,14,15,0,0,10,39,52,104,12,10,22,126
1213P,14,0,5,2,0,10,17,23,37,16,5,21,58
1301P,48,3,8,0,3,15,29,39,87,9,9,18,105
0300P,6,8,0,12,4,5,29,39,45,14,13,27,72
0899P,42,14,15,2,4,15,48,64,106,18,8,26,132
1732P,29,0,15,15,1,15,46,62,91,19,10,29,120
0203P,80,15,2,10,15,9,49,66,146,29,18,47,193
0723P,17,1,10,9,0,3,23,31,48,3,3,6,54
0217P,38,11,0,0,1,0,12,16,54,14,1,15,69
1210P,43,4,0,6,0,15,25,34,77,15,8,23,100
0669P,31,4,7,0,0,6,17,23,54,6,2,8,62
0962P,22,1,0,9,0,2,12,16,38,0,0,0,38
1236P,48,11,13,8,4,0,36,48,96,15,6,21,117
0121P,5,1,1,1,1,0,4,6,11,3,0,3,14
1731P,43,2,3,4,10,8,25,34,77,3,6,9,86
0194P,5,10,7,12,0,7,36,48,53,2,0,2,55
0126P,48,0,13,15,5,4,37,50,98,17,20,37,135
0515P,16,14,15,15,4,12,56,75,91,18,12,30,121
1192P,49,0,15,5,11,15,46,62,111,25,11,36,147
0158P,55,13,15,15,15,11,58,78,133,36,11,47,180
1447P,5,0,4,0,1,0,5,7,12,0,3,3,15
1221P,39,8,15,15,15,15,60,80,119,15,32,47,166
0240P,66,0,15,15,11,15,56,75,141,24,6,30,171
1666P,26,1,10,15,1,12,38,51,77,22,10,32,109
0454P,29,13,15,12,7,11,51,68,97,8,3,11,108
1572P,29,9,12,0,0,0,21,28,57,2,0,2,59
0148P,8,7,8,2,2,0,19,26,34,4,2,6,40
0027P,2,0,2,0,0,0,2,3,5,3,0,3,8
0036P,28,14,15,15,15,0,59,79,107,10,7,17,124
1246P,53,7,11,2,13,11,42,56,109,16,9,25,134
0456P,47,0,15,9,2,8,34,46,93,11,19,30,123
0100P,19,0,15,15,13,14,57,76,95,17,14,31,126
0021P,1,0,6,12,9,6,33,44,45,3,5,8,53
0103P,52,3,10,15,10,1,38,51,103,14,8,22,125
1597P,33,0,0,0,0,0,0,0,33,11,0,11,44
1730P,5,0,0,0,0,0,0,0,5,2,0,2,7
0344P,47,10.5,8.5,3,4,2,26,35,82,16,8,24,106
0305P,54,13,15,11,10,15,54,72,126,23,17,40,166
0832P,23,2,11,9,1,15,37,50,73,12,10,22,95
0924P,11,9,15,10,8,5,42,56,67,13,9,22,89
0384P,48,13,13,5,13,6,45,60,108,18,4,22,130
0156P,81,0,15,15,0,6,36,48,129,9,15,24,153
0034P,5,6,8,5,15,15,44,59,64,2,5,7,71
1198P,69,4,15,2,14,10,43,58,127,26,19,45,172
0566P,7,15,15,15,15,12,60,80,87,6,0,6,93
0586P,44,0,6,3,15,15,39,52,96,12,11,23,119
0406P,33,11,14,10,0,5,40,54,87,8,3,11,98
1351P,4,0,6,0,11,5,22,30,34,4,3,7,41
0824P,9,14,3,15,15,15,59,79,88,8,3,11,99
0037P,10,0,15,2,4,10,31,42,52,2,4,6,58
0331P,39,1,15,5,1,13,34,46,85,8,12,20,105
1126P,11,0,15,0,14,13,42,56,67,5,1,6,73
0502P,20,0,15,15,6,14,50,67,87,27,7,34,121
0022P,1,0,11,4,0,11,26,35,36,3,3,6,42
0044P,3,0,8,15,0,0,23,31,34,0,0,0,34
1262P,49,13,10,0,6,12,41,55,104,12,17,29,133
1099P,26,0,12,15,4,12,43,58,84,9,18,27,111
0418P,93,14,15,15,0,8,52,70,163,13,10,23,186
0105P,4,5,7,0,1,6,19,26,30,0,3,3,33
1189P,73,9,14,15,8,11,49,66,139,16,9,25,164
0425P,34,3,15,0,15,13,46,62,96,12,6,18,114
1571P,25,0,2,0,7,0,9,12,37,12,7,19,56
0389P,30,14,15,14,15,0,58,78,108,18,7,25,133
0175P,72,14,14,14,1,15,57,76,148,14,13,27,175
0528P,27,15,15,7,0,15,52,70,97,19,7,26,123
0111P,61,9,11,15,15,0,50,67,128,24,12,36,164
0570P,29,13,0,15,15,15,58,78,107,11,2,13,120
0626P,27,1,15,6,1,13,35,47,74,8,5,13,87
1233P,24,5,12,15,15,15,57,76,100,12,11,23,123
0610P,0,0,0,0,0,7,7,10,10,0,0,0,10
0649P,18,15,15,8,12,13,55,74,92,13,4,17,109
0051P,0,0,0,0,0,0,0,0,0,0,0,0,0
0868P,39,9,15,5,8,8,40,54,93,9,16,25,118
