ID NO,Pre-compre (120),Compre (80),Post-compre (200)
2022A4PS0924P,80.7,69.0,149.7
2022A4PS0973P,85.8,27.0,112.8
2022A1PS1022P,84.1,35.0,119.1
2022A1PS1099P,105.2,44.0,149.2
2022A7PS1188P,91.1,25.0,116.1
2022A3PS1206P,100.7,44.0,144.7
2022A3PS1211P,15.3,0.0,15.3
2022A3PS1217P,87.2,30.0,117.2
2022A4PS1279P,73.4,25.0,98.4
2022A4PS1292P,103.5,63.0,166.5
2022A1PS1311P,88.5,46.0,134.5
2022A1PS1325P,7.0,2.0,9.0
2022A1PS1330P,17.4,20.0,37.4
2022A1PS1354P,98.2,43.5,141.7
2022A5PS1447P,72.9,17.0,89.9
2022A5PS1465P,6.0,1.0,7.0
2022A1PS1667P,60.9,6.0,66.9
P9N,,,
2022A7PS0042P,89.4,68.5,157.9
2022A7PS0058P,60.0,28.0,88.0
2022A7PS0118P,94.7,41.0,135.7
2022A7PS0119P,115.0,71.0,186.0
2022A7PS0137P,93.9,51.0,144.9
2022A7PS0145P,97.4,70.5,167.9
2022A7PS0146P,73.1,15.0,88.1
2022A7PS0173P,108.2,57.5,165.7
2022A7PS0189P,32.2,31.0,63.2
2022AAPS0268P,84.4,57.0,141.4
2022A3PS0329P,111.5,44.0,155.5
2022A4PS0403P,71.4,20.0,91.4
2022A3PS0455P,101.0,71.0,172.0
2022A8PS0462P,106.0,66.0,172.0
2022A4PS0490P,79.5,65.5,145.0
2022A4PS0558P,102.2,40.5,142.7
2022A8PS0567P,95.5,41.0,136.5
2022A8PS0586P,58.6,54.0,112.6
2022A4PS0615P,66.1,37.0,103.1
2022A4PS0680P,89.1,50.0,139.1
2022A4PS0702P,71.7,22.0,93.7
2022A4PS0708P,60.2,43.0,103.2
2022A4PS0738P,57.9,40.0,97.9
2022A4PS0795P,49.4,19.0,68.4
2022A4PS0806P,69.8,53.0,122.8
2022A4PS0897P,98.7,54.0,152.7
2022A1PS0903P,84.8,35.0,119.8
2022A4PS0926P,78.1,54.0,132.1
2022A4PS0945P,16.0,0.0,16.0
2022A4PS0962P,81.6,26.0,107.6
2022A7PS1168P,71.0,5.0,76.0
2022A7PS1184P,70.2,25.0,95.2
2022A3PS1194P,111.0,71.5,182.5
2022A3PS1221P,118.0,80.0,198.0
2022A8PS1244P,69.4,30.0,99.4
2022A8PS1250P,84.4,62.0,146.4
2022A8PS1256P,79.1,26.0,105.1
2022A4PS1293P,86.0,60.0,146.0
2022A1PS1306P,95.0,73.0,168.0
2022A1PS1316P,33.2,18.0,51.2
2022A1PS1342P,66.2,23.0,89.2
2022A5PS1448P,43.6,20.0,63.6
2022A5PS1463P,53.4,31.0,84.4
2022A1PS1571P,65.7,52.0,117.7
2022A1PS1610P,67.0,32.0,99.0
2022A1PS1668P,72.9,24.0,96.9
P10N,,,
2021D2TS2083P,14.4,0.0,14.4
2022A7PS0045P,100.5,79.0,179.5
2022A7PS0047P,92.7,48.5,141.2
2022A7PS0075P,79.7,44.0,123.7
2022A7PS0079P,67.8,34.0,101.8
2022A7PS0098P,99.6,40.5,140.1
2022A7PS0102P,90.9,42.0,132.9
2022A7PS0105P,71.7,13.0,84.7
2022A7PS0107P,74.6,50.0,124.6
2022A7PS0110P,81.4,46.0,127.4
2022A7PS0128P,85.9,62.0,147.9
2022A7PS0134P,108.6,67.0,175.6
2022A7PS0170P,67.6,37.0,104.6
2022A7PS0185P,24.0,12.0,36.0
