ID NO,"Eval (Best6) (50)","Midsem(70)","Pre-compre(120)"
P6N,,,
2021D2TS2087P,30.6,12.5,43.1
2022A7PS0005P,45.3,21,66.3
2022A7PS0017P,50.0,39.5,89.5
2022A3PS0034P,46.1,20.5,66.6
2022A7PS0036P,50.0,67,117.0
2022A7PS0037P,50.0,27,77.0
2022A7PS0053P,48.6,17.5,66.1
2022A7PS0078P,50.0,40.5,90.5
2022A7PS0083P,49.2,34.5,83.7
2022A7PS0085P,47.5,19,66.5
2022A7PS0087P,50.0,48,98.0
2022A7PS0111P,48.9,27,75.9
2022A7PS0121P,49.4,28,77.4
2022AAPS0198P,49.4,64,113.4
2022AAPS0203P,49.4,39.5,88.9
2022AAPS0240P,48.3,27,75.3
2022AAPS0247P,48.9,52,100.9
2022AAPS0322P,49.4,15,64.4
2022AAPS0358P,50.0,38.5,88.5
2022A3PS0375P,49.7,17,66.7
2022A3PS0431P,50.0,23,73.0
2022A3PS0484P,49.7,35,84.7
2022A3PS0528P,50.0,32,82.0
2022A4PS0556P,50.0,65.5,115.5
2022A8PS0557P,50.0,27,77.0
2022A8PS0611P,50.0,39,89.0
2022A4PS0660P,48.9,24.5,73.4
2022A1PS0661P,18.6,14,32.6
2022A4PS0781P,50.0,43,93.0
2022A1PS0784P,46.4,17,63.4
2022A1PS0841P,43.6,55,98.6
2022A4PS0896P,40.8,17.5,58.3
2022A1PS0959P,47.2,28,75.2
2022A1PS1104P,49.2,19,68.2
2022A1PS1134P,46.4,16,62.4
2022A7PS1178P,50.0,38.5,88.5
2022A3PS1209P,50.0,23.5,73.5
2022A3PS1213P,48.1,55,103.1
2022A3PS1219P,50.0,17,67.0
2022A3PS1229P,48.3,36,84.3
2022A8PS1254P,48.9,33.5,82.4
2022A5PS1454P,42.2,13.5,55.7
2022A5PS1462P,47.2,23,70.2
2022A1PS1576P,50.0,36.5,86.5
2022A1PS1596P,49.4,44,93.4
2022A8PS1731P,49.7,41.5,91.2
P7N,,,
2022A7PS0003P,50.0,49.5,99.5
2022A7PS0008P,50.0,36,86.0
2022AAPS0028P,45.8,22.5,68.3
2022A7PS0069P,34.4,27,61.4
2022A7PS0089P,49.7,22,71.7
2022A7PS0091P,48.6,32.5,81.1
2022A7PS0094P,50.0,62,112.0
2022A7PS0097P,48.6,56.5,105.1
2022A7PS0106P,28.1,40,68.1
2022A7PS0126P,45.3,47.5,92.8
2022A7PS0140P,49.4,58.5,107.9
2022A7PS0141P,50.0,35,85.0
2022A7PS0153P,49.2,57,106.2
2022A7PS0164P,50.0,63.5,113.5
2022A7PS0165P,50.0,50.5,100.5
2022AAPS0207P,50.0,34,84.0
2022AAPS0210P,48.9,55,103.9
2022AAPS0248P,49.2,31,80.2
2022AAPS0255P,20.6,23,43.6
2022AAPS0305P,47.5,27,74.5
2022AAPS0311P,50.0,52.5,102.5
2022AAPS0369P,38.3,26,64.3
2022A3PS0405P,48.1,27,75.1
2022A3PS0437P,50.0,49.5,99.5
2022A3PS0475P,43.3,17,60.3
2022A3PS0510P,35.3,18,53.3
2022A3PS0523P,48.6,44,92.6
2022A4PS0578P,47.8,55,102.8
2022A8PS0620P,46.9,33.5,80.4
2022A4PS0749P,43.6,18.5,62.1
2022A4PS0965P,41.7,25,66.7
2022A1PS1069P,22.8,19,41.8
2022A1PS1126P,36.7,26,62.7
2022A7PS1173P,42.2,24.5,66.7
2022A7PS1176P,49.2,57,106.2
2022A7PS1189P,50.0,30.5,80.5
2022A3PS1205P,47.2,50.5,97.7
2022A3PS1222P,49.2,55.5,104.7
2022A3PS1227P,47.5,38.5,86.0
2022A3PS1228P,49.4,40.5,89.9
2022A3PS1232P,47.2,22,69.2
2022A8PS1258P,43.3,14,57.3
2022A4PS1276P,47.5,27.5,75.0
2022A4PS1294P,16.1,40,56.1
P8N,,,
2022A7PS0009P,50.0,38.5,88.5
2022A7PS0057P,48.3,24,72.3
2022A7PS0067P,0.0,29,29.0
2022A7PS0070P,48.9,41.5,90.4
2022A7PS0088P,48.9,40.5,89.4
2022A7PS0100P,49.7,38,87.7
2022A7PS0113P,50.0,62.5,112.5
2022A7PS0136P,40.6,20,60.6
2022A7PS0143P,48.9,22,70.9
2022A7PS0147P,50.0,28.5,78.5
2022A7PS0155P,26.1,19,45.1
2022A7PS0168P,48.9,38,86.9
2022AAPS0218P,50.0,63,113.0
2022AAPS0226P,46.1,41,87.1
2022AAPS0232P,47.8,36,83.8
2022AAPS0243P,49.4,36,85.4
2022AAPS0251P,49.2,41.5,90.7
2022A3PS0260P,49.7,33.5,83.2
2022AAPS0360P,49.2,33,82.2
2022A3PS0364P,48.3,43.5,91.8
2022A3PS0389P,48.3,31,79.3
2022A3PS0425P,49.7,42,91.7
2022A3PS0476P,45.0,23.5,68.5
2022A8PS0515P,49.7,43,92.7
2022A8PS0570P,48.3,42,90.3
2022A1PS0714P,49.4,34,83.4
2022A4PS0748P,48.6,47,95.6
2022A4PS0774P,49.4,47.5,96.9
2022A4PS0827P,49.4,34,83.4
2022A4PS0924P,49.7,31,80.7
2022A4PS0973P,47.8,38,85.8
2022A1PS1022P,48.6,35.5,84.1
2022A1PS1099P,49.2,56,105.2
2022A7PS1188P,48.1,43,91.1
2022A3PS1206P,49.7,51,100.7
2022A3PS1211P,8.3,7,15.3
2022A3PS1217P,49.7,37.5,87.2
2022A4PS1292P,50.0,53.5,103.5
2022A1PS1311P,50.0,38.5,88.5
2022A1PS1325P,0.0,7,7.0
2022A1PS1330P,1.4,16,17.4
2022A1PS1354P,44.7,53.5,98.2
2022A5PS1447P,44.4,28.5,72.9
2022A5PS1465P,0.0,6,6.0
2022A1PS1667P,46.4,14.5,60.9
P9N,,,
2022A7PS0042P,49.4,40,89.4
